# 本表聲旁及轄字無重覆
# 少量轄字的聲化字的附屬字()標示
# 特殊情況用[]標示
𦥑	⺽䳔閰𦥑
兼	㝺㡘㪠㺌㻩㼓㽐㾾䁠䈴䫡䭑䯡傔兼嗛嫌(𥽎)尲嵰慊搛槏歉溓熑甉磏稴縑缣膁蒹螊謙(𡄫)谦豏賺赚鎌隒馦鬑魐鰜鳒鶼鹣鹻鼸𠁟𡗄𢐎𥡝𥻧𨃰𪙊
冀	䆊兾冀懻驥骥𥜥
冂	冂
冃	㧇冃
冉	㘱(㴂)㫋㾆䎃䏥䤡䫇䶲冉呥姌抩柟珃畘聃(䔜𢳞)舑苒蚺袡髯𣲹𤝫
冄	㚩䑙䒣䛁冄枏耼蚦衻髥𡖔
[冊]	笧粣
冊	冊柵
册	册栅
冋	㢠㺾䌹䯧冋坰扃泂炯絅苘詗诇迥(𣔲𣹔)駉𬳶
再	侢再洅𢈖𤞕𦛍𧋁
冎	冎
冏	㓏㤯䢛䮐冏埛浻烱綗
冒	㡌㪞㴘䑵冐冒勖勗媢帽朂毷瑁艒萺蝐賵赗
冓	㗕㝤㡚䃓䐟傋冓媾搆(簼)斠構(𡒫)溝煹篝耩褠覯觏講(𡄧)購遘鞲韝顜𤠰
冖	冖冟鼏
冗	䢆冗坈棾
宂	䢇宂
[宂]	抭狖貁
冘	㓄㕪㱽㶩㼉㽎㽸䏙䒞䧵䪴䶻冘妉帎忱抌(𠜭)枕(萙𠶍𡹟)沈(莐霃𠴥𢭽𤉠)沊瓭眈紞耽(㴷𢲠𧏰𨄁)衴訦躭邥酖(𩻕)醓鈂馾髧魫鴆鸩黕
[冗]	㕴㚮䤟伔沉
䲴	䲴
冡	䥂䴿冡塜溕蒙霥
冤	冤蒬𣍍
寃	䥉寃
冥	㝠㟰㨠䄙䆩䈿䏃䒌䫤冥凕塓嫇幂幎慏暝榠溟熐猽瞑蓂螟覭鄍
冬	㐑㚵㠽㣠㤏㫡㲇㹣䂢䧷䳉䶱佟冬咚峂庝昸柊氡泈炵疼笗終(䈺蔠𡈡𢴋𤍑𨄿)终苳螽鉖鮗鴤鼕鼨鿴𢫝𣁲𨀐𨒟𩂓𩢦
几	㞦㲹䘛䢳几叽机玑矶肌虮讥飢(㔳)饥麂
凡	㕨㞩䏎䭵凡凨帆忛杋梵(滼)汎(盕)矾竼舤舧芃(𢭾𣒾𥟌)訉軓釩钒𠆩𠔮𡴉
凢	㠶凢凣𢖾𥐥
鳳	鳳
凤	凤
凵	㧄凵
凶	㓙㕳凶忷汹訩讻酗𣧑
匈	匈哅恟洶胷(𤭶)胸(𡏠)詾𤈤𦭪
兇	㟅䣴兇𩷇
凷	凷
屆	屆
届	届
出	㑁㒴㔘㞮㤕㽾䂐䖦䢺䪼䭯出咄岀拙(𠶯𡮍𢮬𦵛)柮欪泏炪础窋笜絀绌聉胐茁(𢱝𣖠𣙸𤋿)袦詘诎貀趉鈯飿饳黜𠀴𡭧𡭱𡭲𧿺
函	㖤㮀䈄䘶䤴䨡函崡涵菡蜬顄
圅	㮭䓿䥁圅
凾	㴠凾
刀	㧅䚯䫸䬢刀刂叨(䬭)忉旫朷灱灲舠芀虭辺釖釗钊魛鱽鳭𣱼𤴬
刁	䒒刁叼汈
刃	㠴㣼㲽䀔䵑仞刃屻岃扨杒牣紉纫肕訒讱軔轫釰靭韌韧
忍	㸾䏰忍梕涊荵認𠴍𢚴𢭝𥆾𥊟𥚆𨧟𨲅
刄	仭刄釼靱
刅	刅刱剏剙梁(墚樑)粱
分	㞣㤋㸮䭻份兺分吩哛坋坌妢岎帉弅忿(𦝅)扮攽昐朌枌梤棻(㯣)棼椕氛汾炃玢瓫盼砏秎粉(㥹)紛(蒶)纷羒翂聁肦芬蚠蚡衯訜貧(𢠈)贫邠酚鈖雰頒颁馚魵鳻黺鼢𥽡𦯀
切	䀙䟙切彻沏砌窃苆袃𠯦𢗠𣐆𤆻𥾛𩚦
㘦	㘦
列	㡂㤠㤡㽝㾐䅀䮋䴕䶛例(𠅜𡂲𣈙𥵘)冽列劽咧姴峛峢挒栵洌烈(𠗹𢟏𤍅𤹐𥉬𦃾𦤭𧏲𨃻𩄰)茢蛚裂趔迾銐颲鮤鴷鿞𠞺𥆁𦀎𧍐𨀺𨦙𩂶
初	初𠸗𢮀𦁅
[別]	㭭䇷䤢哵捌莂
别	别𠣶𡌀𤿱𥇂𦖇𦛺𨡊𨧢
別	別
利	㓿㥎䂰䊍䖽䖿䬆䱘䴻䵩俐利剓唎娳峲悡悧梨(䔧蟍鏫𠼝𣗱)梸棃(蔾)浰犁(䔣)犂(𦺙)猁琍痢睝筣脷莉菞蜊鋓鋫錅鬁鯏鯬鵹黧鿟鿠𢈱𪏭
黎	㠟㰀䉫䵓嚟瓈藜邌鑗黎𠠍𤂱𤑬𥌛𥗍
[刪]	䈀狦珊跚𦙱
刪	刪姍
删	删姗
到	倒(𨃫)到捯椡箌菿𠴼
制	㫼䎺䱥制掣淛猘痸製鯯𠶜𡍘𢮓𨔈𨨪
則	䈟䶡側則厠崱廁惻測萴鍘鰂𡬷𣖡
则	侧则厕恻测荝铡鲗
剌	㻝䏀䓶䱫剌喇揦揧楋溂瘌蝲辢鬎鯻鵣𬶟
辣	辣𣋩𤁕𤻬𥶁𨆹
前	㡐㮍㷙偂前媊揃椾湔煎(𢶕𣜭𤐄)瑐箭(擶櫤𢤣)糋翦(譾)葥鎆騚鬋
剪	㨵剪彅(𦿶)謭谫
劉	䉧䬟劉嚠嬼懰瀏藰
刘	刘浏
力	㔕㔹䡃䣦仂力劤劧劯叻屴忇扐朸氻牞玏竻肋艻赲阞(泐)鳨𠡏
历	历呖坜枥沥疬苈雳𫵷
加	㔔㔖㖙㚳㤎㧝㹢䂟䪪䴥乫伽加咖哿嘉(䕒)妿拁架(㗎𢱌𣕧)枷毠泇珈痂(瘸)笳耞茄(𠸏𡲢𣖚𨔽)袈賀(㵑𧬂)贺跏迦鉫駕(𡃉)驾鴐鿼𡶐𥑆𩶛
劣	㭞劣挘𩷈
劦	㶸䅄䝱(燲)䬅劦勰協姭恊拹栛珕脅(㙝嗋愶搚熁)脇荔蛠𣴚
[办]	协胁
刕	刕
助	助筯耡鋤锄
勞	䜎䲏僗勞嘮嶗憥憦撈朥橯澇癆磱簩耮蟧軂鐒髝𤏪𤩂
劳	劳唠崂捞涝痨耢铹鿲𣓿𦛨𫭼
労	労𢭐
[𤇾]	䃕䝁犖膋
[⿱艹冖2]	䒿荦
勺	㢩㣿䂆䄪䋤䪨䵠䶂仢勺圴妁尥彴扚杓汋灼(䓎)犳玓瓝的(啲菂𢯊𤷭(𦗽)𦖡𦝂)礿約(喲箹葯)约(哟药)肑芍(烵)虳訋豹趵酌釣(䔙瘹)钓靮馰魡𧺕
勿	㫚(㳷䐇匫曶)䀛䀜䝆䥼䴯伆刎勿匢吻囫圽岉昒歾沕物笏粅肳脗芴虝魩𢪥𢪱𧉚
[勹]	灳
[勻]	㚬䏛䝧伨呁均(筠荺鋆)抣昀枃汮畇盷笉蚐袀赹鈞(憌)韵
勻	䇖勻
匀	匀钧
勹	勹勽
包	㚿㯡䍖䎂䛌䮀䶌刨包匏咆垉孢庖(𠝇)怉抱(菢)枹泡(萢)炮炰爮狍玸瓟疱皰砲窇笣胞(𠷤)苞蚫袌袍跑軳鉋铇雹(㵡䥤)靤鞄颮飑飽饱骲髱鮑鲍麅麭齙龅𠓨𣭚𧲼
佨	佨
匊	㥌㹼㽤䗇䜯䪕䱡匊婅掬椈毱淗粷菊(𣚭)諊趜踘躹鞠(巈蘜鞫驧)鵴麴麹龾𥮗𨨠
匋	䛬匋啕掏淘祹綯绹萄蜪裪醄鋾陶(𡒘)騊𫘦
匕	㠲䚰䣥匕庀朼牝疕
化	㐶化吪囮杹沎訛讹貨货鈋靴(㗾𢶤)魤𤆷
华	㟆华哗桦铧骅
花	㳸婲椛花蒊錵𠵅𢯘
𠤎	叱𠤎
北	䉾北苝軰邶鉳𢫣𨀈𨸾
𡿺	㑎㛴㺁匘堖惱(𢣈𦼝)瑙硇碯腦𡿺
㐫	㐫垴恼脑
匠	䞪匠
匡	㑌䒰䖱劻匡哐恇框洭眶筐誆诓軭邼𢬤𣃱𨀕
匸	匸
匚	匚
匹	䏘匹苉鴄
医	医悘(嫕)
匽	㰽䞁䤷偃(𠼸𪅬)匽堰愝揠椻蝘褗躽郾隁鰋鶠鼴𬸘
匿	㥾䁥䘌匿嫟慝(嬺)暱𠽋𢴚𣘗𤎐𦟻𧏾𩺱𪙛
區	䆰䌔䙔(䉱)䡱䧢䩽傴剾區嘔塸嫗嶇彄慪摳(𢷯)敺樞(䉩)櫙歐(䥲𡂿𤮥)毆漚熰甌瞘膒蓲謳貙軀醧鏂饇驅鰸鷗𣞃𤹪𥕥𦓇𨄅
区	䝙伛区呕妪岖怄抠枢欧殴沤瓯眍讴躯駆驱鸥𧦅𨸟𫭟𫸩𬉼
十	䦹什十卙叶旪汁計计針(𢟙𢲥𣗒𣻁𫠍)针
卂	㚨㭄䒖卂扟汛籸訊訙讯軐迅(䭀)阠𤣲
虱	虱蝨鯴鲺
千	䀒䊹䢴仟刋千吀圱圲奷忎忏扦杄歼汘纤芊谸迁(跹)釺钎阡𠉟𧿐𩵞
卅	卅
升	㐼㚈升呏抍斘昇(焺鵿𮢆)枡阩(陞陹)
午	㞰㬳仵午吘忤旿杵汻玝許(䔓滸𠼯𢠇𤾟)许(浒)迕𡉦𢨵𥄭𥘪𥾿𦬶𨳱
卉	卉泋芔𠱥𡜦
半	㪵㫠䉽䬳伴(𠴞𡖱𢭬𣵲𦁂)冸判半叛坢姅怑拌(𨉠)柈泮(𢯝)牉畔(溿)眫秚絆绊胖袢詊跘鉡靽頖𠦯𠰢𡭉𢏑𣫷𥐆𧉻𧸝
卌	卌
卑	㗗㪏㼰㽡䇑䚜䠋䡟䫌䰦䱝䴽俾卑啤埤婢崥庳(㯅螷蠯)捭(篺)朇椑渒(𥱼)焷牌(簰)猈琕痺睥碑稗(薭)箄(㵺)粺綼聛脾(簲)萆蜱裨諀豍郫錍陴鞞髀鵯鹎鼙𠜱𣈢
卒	㰵㱖㲞䘚䘹䚝䯿䱣倅卒啐(𨅇)埣崒崪悴捽晬椊淬焠猝琗瘁睟碎(𡀬𡳥𢣃𣩸𤻒)祽稡窣箤粹綷脺萃(㯜㵏膵)誶谇賥踤醉(𤂭)錊顇𠁸𠫏𠾹𡇻𡦧𡨧𡮇𡳝𣖛𣖢𣦮
卆	㳃伜卆忰枠疩砕粋紣酔𡉻
卓	㔬㪕㷹㹿䂽䈇䑲䮓倬卓啅婥悼(𨄵)掉(𦄹𧐼)晫桌(槕)棹(𥴙)淖焯(𦻐)琸窧竨綽(羄)繛绰罩(𥋽𥵙)趠踔逴鋽鵫𤙴𥇍𦠰𪂱
南	㑲㓓㣮䈒䊖䋻䌾南喃婻揇暔楠湳煵罱腩(𢷁)萳蝻諵𠄼𡎜𢆥𥈶𥠮𦣰𨂾𩄑𪻳
卜	㓀㺪䃼䟔仆(䇚𢪗𥾾)卜卟圤扑朴(烞)虲补訃讣赴釙钋鳪𢯜𣱶𥃨𦘱𧴤𨈒
卞	卞忭抃汴炞犿玣笇苄飰𠂪𠂫𥑃𥾽
卟	卟
占	㓠㚲㣌㤐䀡䍄䦓䩇䩞䪓䬯䴴䵿佔占呫坫(㼭)岾帖(㥈萜)怗战扂拈敁枮毡沾(惉霑)炶(𠸞)点(𨃊)煔(檆)玷痁砧秥站(𥱱)笘粘(𦟶)胋苫(𥠯)蒧蛅袩覘觇詀貼贴趈跕迠酟鉆钻阽頕颭飐鮎鲇黇黏點(嚸)𠛤𡖡𡖵𢇡𥎁𧮪𧲸𩬑
店	䛸店惦掂踮𠶧𡌽𣈔𣈘𣎀𥯎𧍈
卣	㔽䚃卣逌
卩	㔾卩卪
卬	䀚䒢䤝䩕䭹仰卬岇枊迎(𠶐𥈁𨓑)𢗾
昂	㭿昂𢯤
卯	㚹㡻㧕㶯乮卯夘奅峁戼昴柳泖珋窌笷聊(㗦㟹窷𣼾)茆貿(橮鄮)贸邜鉚铆飹駠𠰭𧖰𧖱𨥫𩊅
丣	䱖丣駵
印	䲟印抑(𠳑)茚鮣
危	㧪㩻䍯䣀䤥佹危卼垝姽尯峗峞恑桅洈硊祪脆蛫觤詭诡跪陒頠鮠𠱓𡳀𢼨𬱟𬶏
[卽]	㑡䐚䳭堲揤楖莭蝍鯽𪃹
即	即唧鲫
卽	卽喞皍
卵	㤻卵
卷	㒽䅚䊎䱧倦勌卷啳圈圏埢婘巻弮惓捲棬淃犈睠箞綣绻腃菤蔨蜷裷踡錈锩鬈𤷄
卸	䣃卸啣欫缷𨨶
[谷]	㞃䧍綌绤谻郤(㮝)
卻	卻腳
却	㑢㾡䖼却脚踋𠳞
𨚫	𠡺𨚫
卿	卿
厂	㕍厂厑屵鳫
雁	㷳贋赝軅雁𤎝𪆒
鴈	贗鴈𡃌
厃	厃
厄	㫉䝈伌厄呃扼枙砈苊蚅軛轭鈪阨頋𦙜𧦠
戹	㧖呝戹砨豟軶阸
厓	厓啀堐娾崕崖捱涯(𠽎𦹹)睚𠊎𣔦𦲒𧍊
㫗	㫗厚
原	㟲㟶㥳㹉䝠䴨傆原厡厵塬嫄愿(𨆸)榞源(𡀶𪒳)獂縓羱蒝螈謜豲願(𡅪𢥧)騵𠺿𫘪
厤	㷴㻺㽁厤磿𦀍
[⿸厂林]	暦歴(𤁋)
厥	㜧㵐䙠劂厥噘嶡嶥憠撅橛橜獗蕨蟨蟩蹶蹷鐝镢鱖鳜鷢𢅅
厭	㱘厭厴嚈壓(𢹥)嬮懕懨擪擫檿靨饜魘黶𥀬𧞣
厌	厌厣恹靥餍魇黡𦀫
压	压
圧	圧
厲	勵(䘈)厲巁曞櫔濿爄犡癘矋礪禲糲蠣鱱𡂖𧢝𩧃
厶	㺨厶私(俬)
厷	㢬䆖䍔䡌䧀䧺䫺厷吰汯竑紘纮翃耾肱谹鈜閎闳雄𡵓𦐌
厸	厸
去	㚎㧁㫢㭕㰦㾀䒧䟩䪺䮃佉厺去呿唟弆抾祛紶胠袪(𤹒)詓迲阹魼麮鼁𧉧
厽	厽垒絫(㒍𣚎)
叀	叀
參	㕘㜗㵕㺑㽩䟃䫩傪參叅嘇墋嵾慘摻曑槮毶毿滲犙瘮磣穇篸糝(𢹪)縿(𢹨)蔘謲贂遪醦鏒驂鬖黲𠔭𤗲𥊀𩅙
参	䅟参惨掺椮毵渗瘆碜糁骖黪𥮾
又	又
㝊	㝊
仅	仅
友	㕛伖友苃鿆𡛀
叉	㣾䂘䑡䟕叉扠杈汊(㳗)紁肞芆衩訍釵钗靫
及	㚫㠷㧀㽺䏜䑥䲯䶋伋及吸圾岋岌(𠲺𢚼𣵵𥆹)彶忣扱(𠳖)昅极汲砐笈級(𠺻𢲩)级芨衱觙訯趿鈒钑雭靸馺魥﨤𠀨𠄦𠍭𢪳𣌵𤆣𤜯𥄫𥝥𧲫𨸍
反	㤆㽹䛀䡊仮反坂岅扳(鋬)昄板汳炍版(蝂)瓪畈眅粄舨販(𢴔)贩返鈑钣阪飯饭魬𢆕𢓉𥯈𥾵𦙀𧿨
叔	㾥䱙俶叔埱婌寂(漃)惄掓椒淑(蔋)琡督(𧝴)菽裻諔踧錖𠴫
叕	㙍䄌䍳䝌䞵䟾䦤䫎䮕剟叕啜娺惙掇敠敪棳欼(歠)毲涰畷窡(䆯)綴缀罬腏蝃裰諁輟辍逫醊錣餟鵽𡨤𩸯
取	㖩㝡㷅㻓冣取埾娵娶掫棷棸樷箃緅菆諏诹趣郰鋷陬鯫鲰黀齱𤔛
叢	䕺叢
受	㖟㥅䛵受授涭綬绶𦈽
叚	㗇㰺䈔䠍䪗䫗假(𠽙)叚婽徦暇椵煆犌猳瑕瘕睱碬縀腵葭蝦豭貑赮遐(蕸)鍜霞(𡄟)騢鰕麚
叟	㛐㟬㥰㪢㮴㲣䏂傁叟嗖嫂(䕅)廋搜溲獀瘦(𩽉)瞍膄(㵻)艘蓃螋謏遚鄋醙鎪锼颼飕餿馊騪𫍲
叜	㛮(𦺋)䑹䗏䤹䩳䬒䮟叜廀摉
口	口叩扣(筘)釦𤘘𦬅
古	㐔㕆㖛㝒㱠㼋㽽䀇䀦䇢䊀䑩估古咕嘏姑(菇𢯐𦁿𧍏𪂯)岵怘怙故枯(喖𢉽𤋹𤚦𩹬)沽牯瓳盬祜秙罟苦(楛瘔𢱗𤋼)蛄詁诂跍軲(䉐)轱酤(䔯)鈷钴骷鴣鸪𠸙𡪻𡳰𢫈𤇌𥑮𦙶𦹯𦹵𧙖𩚩
句	㣘㲒㽛䅓䑦䝭䞤䣱䧁䪷䬲䵶佝劬句呴(喣)坸够夠姁岣怐拘(㐝)敂斪昫(煦)朐枸欨泃狗玽痀眗竘(䈮蒟𦵑)笱絇(𢳉)翑耇胊(葋)苟(㺃㻤𠸚𥰄)蚼袧訽豞豿跔軥邭鉤雊駒驹鮈鴝鸲鼩齁齣𢂁𪓟𫠚
勾	㘬勾抅构沟芶购鈎钩𡵺𥬉
叧	叧拐(箉)枴柺
只	㡶㰨䅩䍉䛊䳅伿只呮咫帜怾抧枳炽疻积织职胑识軹轵鉙齞𣲵𥿗𦭜𨈪𩿦
召	㐒㲈㸛䂏䎄䙼䧂䫿䬰佋刟劭卲召妱岧岹弨怊招(萔𠶅)昭(㷖照(燳𥵕)𡎣)柖欩沼(䈃菬𠶕𧍌)炤牊玿眧祒笤(𣙭)紹绍苕(鍣)蛁袑詔(𠾓𥴜𧝨)诏貂超(㯧𠾸𦠶)軺轺迢邵(綤)鉊鞀韶髫齠龆𠰉𠹾𠺥𡊱𡥙𢁾𤵪𥹙𦚔𪖠𬬿
可	㐓㞹㪃㪼㫊㰤㱒䋍䯊䶗可呵哿坷妸(𠶚)岢(碋)抲柯(樖)炣牁珂疴砢笴胢舸苛蚵袔訶诃跒軻轲酠鈳钶閜(㗿)魺鲄鴚𡥚(𠶄)𧙃𧯶
何	何哬𣒍
荷	嗬荷
河	河渮菏
台	㣍㰧㾂佁兘冶刣台咍囼坮始(㗠𠝔)孡怠(䈚緿)怡抬枱枲(㷘䈢䢄葈𣕘𦂅)殆治(箈菭𠶠)炱(㬃)炲珆瓵眙笞紿绐耛胎苔(𠫅𠫆𢰥𣹓𤠂𥀌𧀟𨃐𩌂)詒诒貽贻跆軩辝迨邰鈶颱飴饴駘骀鮐鲐齝𠄩𠊝𠳙𩲥
史	㕜㳏史鉂駛驶𣐳𪀎
右	㤑㳓佑(㐛)右祐醢𣖻𧙗
号	㞻䪽号呺枵飸鴞鸮𩖸
號	㙱號饕𡀱𣜵
司	㚸㟃䏤䛐伺司呞嗣孠柌泀祠笥覗詞词鉰飼饲
各	㓢㗉㤩㦴㪾䀩䅂䎊䞦䧄䶅佫各咯垎峈峉(𠸉)恪(𠸧)挌敋格(䈷𠺝𨃶)洜烙狢珞硌笿絡络胳臵茖(𠺴)蛒衉袼觡詻貉賂赂輅(簵)辂酪鉻铬閣(擱櫊𡁤𨆿)阁(搁)雒頟餎饹駱骆骼鮥鴼鵅
客	㟯䘔喀客愘愙揢楁碦額(𡅅𣌔𥗳)额髂
路	㯝潞璐簬蕗路鏴露(虂𤅟)鷺鹭𡀔𢷅𤮗𦓉𧒌𧒍𪛅
洛	洛𠸪
落	落𡀩𢣅𣋛𥋷𨮎
略	㑼㨼䌎略𨎟
畧	撂畧𠓀𠠩𥳂𨎠
吅	吅
合	㓣㕉㝓㢵㪉㭘㾑㿯䀫䆟䏩䞩䢔䨐䶀䶎佮冾匌匼合哈垥姶峆峇帢恰拾(湁)搿敆欱洽(㬁)烚珨畣(墖)盒硆祫秴給(𠎨𢵰)给翖耠蛤袷詥跲郃鉿铪閤鞈韐頜颌餄饸鮯鴿鸽龕龛𢈈𩭆𪘁𬌗
吉	㓤㔛㣟䂒䓀䦖䭇佶劼吉咭喆嚞夡姞恄拮桔欯洁狤硈秸結(鐑𢢂)结翓聐蛣袺詰(𠟸)诘趌迼郆銡鞊頡(擷纈襭)颉(撷缬)髻鮚鲒鴶鷧黠(䕸)𠮷𡋥𡳛𣻅𦛋𨀙
壹	㙪㦉㱅䊦亄噎壹嬄懿撎曀殪潱豷饐𠃸𡄻
同	㓊㖯㖰㢥㣚㸗䆚䞒侗同哃垌姛峒峝恫戙挏晍桐洞(霘)烔狪痌眮硐秱筒粡絧胴茼衕詷迵酮銅铜餇駧鮦鲖𦨴𪔚𫍣
名	㗮㫥䊅佲名姳洺眳茗詺酩銘铭𠱷𩳊
后	㖃㤧㧨㸸㻈䞧劶后垕垢(𢞄)姤洉缿茩詬诟逅郈銗骺鮜鲘𥅠𪁆
吏	㕝㤦㹬使(𣔤𣷱𦲺𧍅𧍇𩸲)叓吏𣥱𣦰𣳪𥒅𥟹𦧜𦪨𧀞𧳅𪘌
向	䖮向响垧姠恦扄晌晑珦銄餉饷𠽘
君	㟒䇹䞫侰君宭峮帬(𤸷)捃桾涒焄(蔒)珺窘(㩈僒)羣(㿏𡑳)群(𡀳𡑱𨆤𨮉)莙裙裠覠輑郡(㴫𠹴𤹓𦄄)頵鮶鲪鵘麏(𢹲)𡝗𢃆𤉙𫖳𬂁
吝	吝悋麐𠓬𠞺𠡧𠳺(𠼿)𡘯𡫫𢙵𢭹𣁔𣵰𤞼𤶾𧋻𨁮𨦽𪊺
[⿱乂厷]	㖁恡𪊭
吠	吠鼣𦜀
否	㤳㧵㳪䓏䫊䫠俖否嚭娝桮痞脴踎𠳝𣇊𥺖𨧆𩛷
含	㓧㟏㟔㤷㼨䎏䣻含唅娢晗梒浛焓琀筨莟蛿誝谽鋡頷颔馠𡌢𡪁𤚥𤞻(𣘉)𥆡𥓂𦛜𧳘
[吳]	㻍洖祦筽脵茣虞(噳澞鸆)蜈誤鋘麌𣮇
吳	俁吳娯悞
吴	俣吴娱悮误
呉	呉娛
吹	吹焁𠀿𢭻𣒱𣵯𣵶𤉚𤶺𥪅𥺏𥺔𧷝𨁰𩭜
炊	䶴炊
吾	㐚㹳䎸䏸䓊䦜㾔䮏俉吾唔啎圄娪寤峿悟(𦷮)捂敔(䢩)晤梧浯焐牾珸痦窹衙語(𠑕𡂂𢣸𤻭)语逜郚鋙铻鯃鼯齬龉𥟊𦀡𪘚
[吕]	㛎捛梠焒稆筥絽莒郘鋁閭(䕡䥨櫚)𢙲𣳮
吕	侣吕铝闾(榈)
呂	侶呂𠒦𠭤𠴊𡄀𡋿𡳎𣨕𤀗𤞪𤳧𥆻𥓅𥖓𥖕𥺓𨓐𨹬𪁳
呈	䄇䇸侱(𥰈)呈埕徎悜挰桯浧(塣)珵睈程脭裎逞郢酲鋥锃鞓𠴔𥺆𦀚𧋸𨁎𪓪
告	㬶䎋䚛䧊䧼䶜俈勂吿告哠喾嚳峼悎捁晧(㵆)梏浩焅牿皓(澔)硞磨祰窖(滘𨅻𪆥)筶聕艁誥诰郜酷鋯锆靠(㸆)頶鯌鵠鹄𠜯𡌃𣂋𤞺𤭚𥞴𥺊𦀽
周	㓮㚋㟘㨄䎻䓟䞴䧓䯾倜凋周啁奝婤彫(𧐸)徟惆晭椆淍琱皗睭碉禂稠綢绸翢蜩裯調(𢸛𧞴)调賙赒輖週郮錭雕(𧔿)霌騆鯛鲷鵰𨂊
咅	㕻㖣㟝㥉㰴㾦䋨䍌䎧䏽䞳䦣䬏䯽䳝䴺倍(蓓𡏧𡻓𣻃𦟋)剖勏咅培(𢊫𣼯𦟷𦹷)婄掊敨棓殕毰涪焙犃琣瓿碚稖箁菩賠赔踣部(篰蔀𧐾)醅錇锫陪(㯁䔒)鞛餢𣾾
咎	㰶㹾䓘䛮倃咎晷(厬)櫜綹绺鯦麔鼛𠴰
咠	㣬䁒䐕偮咠戢(嶯擑檝濈艥蕺霵)揖(䉗䔱)楫(𡀞)湒箿緝缉葺諿輯辑鍓𡎎𩹫
咢	㓵㗁㟧㬽㮙偔卾咢堮崿愕湂腭萼(𠿸)覨諤谔遌鄂鍔锷顎颚鰐鳄鶚鹗齶𥈭𥔲
㖾	㖾㦍䣞遻
[舌]	㓉䀨䄆䏦䒷䟯䣶䦚䯏佸刮(𠟥𠵯𢯔𣈛)咶姡憩懖括(葀𠸓)敌活(萿闊(𤄃)阔)秳筈聒舌舙蛞話话趏頢颳髺鴰鸹𠻉𦧘
[⿱氏口]	䯺桰銽
适	适
咸	㛾㨔㰹㺂䁍䖗䶠䶢减咸喊堿嵅椷減煘瑊碱箴(𢤝)緘(䌠𥶳𧁺)缄羬葴(䥠)諴輱醎鍼顑鰔鱵鹹麙黬𠁝𫍯
咼	㢐䈑䫚䯞剮咼喎堝媧旤楇歄渦煱(𡁜)猧瘑碢禍窩緺腡萵蝸諣踻鍋騧𢝸𢰸
呙	㖞㶽䯄剐呙埚娲涡祸窝(𫲄)脶莴蜗锅
過	㗻䆼䙤撾檛濄簻膼薖過鐹𢣄𩟂𪇍
过	㳡挝过𪁶
哀	㗒偯哀鎄锿𤠆
品	偘品榀煰闆
𢦏	㘽㦲䛋䣬䵧栽(溨)烖胾臷蛓裁載(儎)载(傤)酨𢦏
哉	哉渽睵賳𠼷𥯒𦞁𧛷𩹯
員	㜏䁚䆬䐣䚋䠝䫟傊勛(𤏩)員圓塤愪損(𨆥)殞溳熉磒篔縜蒷鄖隕霣韻鶰𠅳𡻖𣗼𧜘
员	㛣勋员圆埙损殒涢筼郧陨
貟	圎貟
贠	贠
哥	㢦䔅哥戨歌滒謌鎶鿔𠹭𣘁𤠄𪃴
哭	哭
唐	㜍㲥㼺䅯䌅䧜傏唐塘(䕋)嵣搪榶溏煻瑭瞊磄禟篖糖膅蓎螗赯鄌醣鎕餹鶶
商	商墒滳熵蔏螪謪
啇	㒀㠃㹍䁤䊞䎮䐱䙗䮰䵂啇嘀墑嫡摘(𪇪)敵樀歒滴甋蔐謫谪豴蹢適(㰅擿瓋藡讁𡂓𨮹)鏑镝
啻	啻膪
[⿰户攵]	䁈䏿啓(㬖𢴖)啟(闙𥳃)晵棨(𣘼)綮
启	启
啚	啚鄙
善	㵛㷽䦅僐善墡嫸敾橏磰繕缮膳蟮譱鄯鐥饍鱔鳝𠟤𠾺𢢆𧬆
喜	㝆㵙䵱僖喜嘻囍嬉憘憙敼暿橲歖熹熺瞦禧糦繥蟢譆饎鱚𨭎𬭳𬶮
㰻	㰻
㐂	㐂
喦	喦澏
喪	䘮喪
丧	丧
喬	㝯㠐㢗䀉䎗䚩僑勪喬嘺墧嬌屩嶠憍撟敽敿槗橋毊燆獢矯礄穚簥繑蕎蟜譑趫蹻轎鐈鞽驕鱎鷮𢄹𣾷𥼱𧄳
乔	㤭㳢乔侨娇峤挢桥矫硚荞轿鞒骄
單	㠆㲷㺗䐷䠤䡲䯬䵐僤匰單嘽嚲囅墠奲嬋幝(𡃐)彈(𤻾)憚戰(𡃹𡓥𢥇𥗜𧂁𧟀)撣暺樿殫潬燀癉磾禪簞繟蕇蟬襌觶譂貚軃鄲(䕤)闡(灛𢺛𥸍)驒鱓鷤鼉鼍𨭐
单	䃅亸冁单啴婵弹(𠽂𢠤)惮(𠼺)掸椫殚瘅禅箪蝉褝觯郸阐𧝧𫢸𫮃𬊤
単	単弾戦
喿	㿋䆆䵲僺劋喿噪嬠幧懆操(𧂈)橾氉澡(藻(㩰))燥璪矂繰缲臊襙譟趮躁鄵鐰髞鱢𣋝𤢖𥖨
嗇	㱇䉢嗇廧懎濇瀒穡繬薔轖
啬	啬穑
𦰩	㔮䎯䕿傼嘆囏嫨暵歎(擹)漢(𡁚)熯𢠦𤳉𦰩𧄊𨫪
[又1]	叹欢汉
器	噐器
